epoch,accuracy,loss,val_accuracy,val_loss
0,0.3465619385242462,2.062089204788208,0.3759765625,1.936571717262268
1,0.4103754460811615,1.918086290359497,0.4111328125,1.830691933631897
2,0.42348501086235046,1.9014532566070557,0.419921875,1.966745376586914
3,0.4443480968475342,1.861167073249817,0.4150390625,2.053762435913086
4,0.4469496011734009,1.850504994392395,0.439453125,1.967085838317871
5,0.4567435085773468,1.83059823513031,0.40625,2.0407042503356934
6,0.4586819112300873,1.8495782613754272,0.416015625,2.064723253250122
7,0.45939603447914124,1.8507075309753418,0.4384765625,2.0782885551452637
8,0.4674046039581299,1.8218258619308472,0.4140625,1.9994540214538574
9,0.4662823975086212,1.8742964267730713,0.4228515625,1.950594186782837
10,0.4687308669090271,1.855642318725586,0.451171875,1.9833723306655884
11,0.4734237790107727,1.8448482751846313,0.42578125,2.0360262393951416
12,0.4794429838657379,1.8274016380310059,0.4091796875,2.283196210861206
13,0.4786268174648285,1.8254929780960083,0.3994140625,2.4480206966400146
14,0.48092225193977356,1.8309706449508667,0.4404296875,2.159240245819092
15,0.47898387908935547,1.8818801641464233,0.478515625,1.9075887203216553
16,0.4840848743915558,1.8288484811782837,0.45703125,1.9920110702514648
17,0.4824015498161316,1.8213759660720825,0.4248046875,2.060384750366211
18,0.4819934666156769,1.8441811800003052,0.47265625,1.9177703857421875
19,0.4850030541419983,1.8339828252792358,0.4609375,2.0190958976745605
20,0.4821465015411377,1.83364999294281,0.458984375,1.993114709854126
21,0.48587024211883545,1.808834195137024,0.46875,2.0282070636749268
22,0.47908589243888855,1.8834151029586792,0.453125,2.1381304264068604
23,0.4885227382183075,1.8405470848083496,0.37890625,2.4475784301757812
24,0.4902570843696594,1.816931128501892,0.4599609375,1.9723283052444458
25,0.4860742688179016,1.8384493589401245,0.4677734375,2.0770668983459473
26,0.4868394136428833,1.8570382595062256,0.4404296875,2.195913791656494
27,0.4865843653678894,1.8336621522903442,0.458984375,2.0441911220550537
28,0.4888288080692291,1.8804290294647217,0.4228515625,2.4483187198638916
29,0.49443989992141724,1.8181734085083008,0.4560546875,2.007983922958374
